Subkey;Values
\SAM\Domains\Account\Aliases\000003EA;C: ea03000000000000e800000003000100e80000001800000000000000000100002e00000000000000300100001c0000000100000001001480c8000000d80000001400000044000000020030000200000002c014001300050101010000000000010000000002c01400ffff1f000101000000000005070000000200840004000000
\SAM\Domains\Account\Aliases\000003ED;C: ed03000000000000e800000003000100e80000001400000000000000fc000000220000000000000020010000000000000000000001001480c8000000d80000001400000044000000020030000200000002c014001300050101010000000000010000000002c01400ffff1f000101000000000005070000000200840004000000
\SAM\Domains\Account\Aliases\Members\S-1-5-21-186934428-740512678-2026899398\000003E9;(default): 1002
\SAM\Domains\Account\Aliases\Members\S-1-5-21-186934428-740512678-2026899398;(default): 0
\SAM\Domains\Account\Aliases\Members;(default): 0
\SAM\Domains\Account\Aliases\Names\docker-users;(default): b'\x00\x00\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa8\xff\xff\xffnk,\x00^]\xf3\xa4w5\xda\x01\x01\x00\x00\x00\xf0\x05\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\xd0\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xffp\x01\x00\x00\xff\xff\xff\xff\x06\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00ROOT\x00\x00\x00\x00\xa8\xff\xff\xffnk \x00\x9f-\xf2\x01\xbd5\xda\x01\x01\x00\x00\x00 \x00\x00\x00\x03\x00\x00\x00\x00\x00\x00\x00@\xe9\x00\x00\xff\xff\xff\xff\x02\x00\x00\x00\xb8\xea\x00\x00\xe0\x00\x00\x00\xff\xff\xff\xff\x1c\x00\x00\x00\x00\x00\x00\x00&\x00\x00\x00\xe0\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00SAM\x00\x01\x02\x00\x00\xf0\xff\xff\xfflh\x01\x00x\x00\x00\x00\x8d\xc5\x01\x00\x80\xff\xff\xffsk \x00p\x01\x00\x00p\x01\x00\x00G\x00\x00\x00d\x00\x00\x00\x01\x00\x04\x88H\x00\x00\x00X\x00\x00\x00'
\SAM\Domains\Account\Aliases\Names\__vmware__;(default): b'\x00\x00\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa8\xff\xff\xffnk,\x00^]\xf3\xa4w5\xda\x01\x01\x00\x00\x00\xf0\x05\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\xd0\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xffp\x01\x00\x00\xff\xff\xff\xff\x06\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00ROOT\x00\x00\x00\x00\xa8\xff\xff\xffnk \x00\x9f-\xf2\x01\xbd5\xda\x01\x01\x00\x00\x00 \x00\x00\x00\x03\x00\x00\x00\x00\x00\x00\x00@\xe9\x00\x00\xff\xff\xff\xff\x02\x00\x00\x00\xb8\xea\x00\x00\xe0\x00\x00\x00\xff\xff\xff\xff\x1c\x00\x00\x00\x00\x00\x00\x00&\x00\x00\x00\xe0\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00SAM\x00\x01\x02\x00\x00\xf0\xff\xff\xfflh\x01\x00x\x00\x00\x00\x8d\xc5\x01\x00\x80\xff\xff\xffsk \x00p\x01\x00\x00p\x01\x00\x00G\x00\x00\x00d\x00\x00\x00\x01\x00\x04\x88H\x00\x00\x00X\x00\x00\x00'
\SAM\Domains\Account\Aliases\Names;(default): 0
\SAM\Domains\Account\Aliases;(default): 0
\SAM\Domains\Account\Groups\00000201;C: 030001000102000007000000020000000000000000000000b000000003000100b00000000800000000000000b80000001c00000000000000d400000064000000050000000100148090000000a00000001400000044000000020030000200000002c014000e00050101010000000000010000000002c01400ffff1f0001010000
\SAM\Domains\Account\Groups\Names\None;(default): b'\x00\x00\x00\x00\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xa8\xff\xff\xffnk,\x00^]\xf3\xa4w5\xda\x01\x01\x00\x00\x00\xf0\x05\x00\x00\x01\x00\x00\x00\x00\x00\x00\x00\xd0\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\xff\xff\xff\xffp\x01\x00\x00\xff\xff\xff\xff\x06\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x04\x00\x00\x00ROOT\x00\x00\x00\x00\xa8\xff\xff\xffnk \x00\x9f-\xf2\x01\xbd5\xda\x01\x01\x00\x00\x00 \x00\x00\x00\x03\x00\x00\x00\x00\x00\x00\x00@\xe9\x00\x00\xff\xff\xff\xff\x02\x00\x00\x00\xb8\xea\x00\x00\xe0\x00\x00\x00\xff\xff\xff\xff\x1c\x00\x00\x00\x00\x00\x00\x00&\x00\x00\x00\xe0\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00SAM\x00\x01\x02\x00\x00\xf0\xff\xff\xfflh\x01\x00x\x00\x00\x00\x8d\xc5\x01\x00\x80\xff\xff\xffsk \x00p\x01\x00\x00p\x01\x00\x00G\x00\x00\x00d\x00\x00\x00\x01\x00\x04\x88H\x00\x00\x00X\x00\x00\x00'
\SAM\Domains\Account\Groups\Names;(default): 0
\SAM\Domains\Account\Groups;(default): 0
\SAM\Domains\Account\Users\000001F4;"F: 0300010000000000a17bdadd4c7ed7010000000000000000000000000000000000000000000000009c0c19de5abeda01f401000001020000110200000000000002000900010000000000000000000400; V: 00000000f400000003000100f40000001a00000000000000100100000000000000000000100100006c000000000000007c01000000000000000000007c01000000000000000000007c01000000000000000000007c01000000000000000000007c01000000000000000000007c01000000000000000000007c01000000000000; SupplementalCredentials: 00000000000000000200020010000000ff7baae97e8846eab4406af969d1e70477dfea30d64cc0f1c7645652f3743824178e600097f7e49101e589225b1c5687"
\SAM\Domains\Account\Users\000001F5;"F: 0300010000000000000000000000000000000000000000000000000000000000ffffffffffffff7f0000000000000000f501000001020000150200000000000000000000000000000000390038000000; V: 00000000e800000003000100e80000000a00000000000000f40000000000000000000000f400000070000000000000006401000000000000000000006401000000000000000000006401000000000000000000006401000000000000000000006401000000000000000000006401000000000000000000006401000000000000; SupplementalCredentials: 00000000000000000200020010000000a6ce357840476397b5fd326cb2069fd3eed4b9b5d43dd6909533d9809c5a0d6b212215006fe4ec61863590e0b1586a24"
\SAM\Domains\Account\Users\000001F7;"F: 0300010000000000000000000000000000000000000000000000000000000000ffffffffffffff7f0000000000000000f701000001020000150200000000000000000000000000000000000000000800; V: 000000000c010000030001000c0100001c00000000000000280100000000000000000000280100004a000000000000007401000000000000000000007401000000000000000000007401000000000000000000007401000000000000000000007401000000000000000000007401000000000000000000007401000000000000; UserDontShowInLogonUI: 1; SupplementalCredentials: 00000000000000000200020010000000b622430ff4b5d2807c7bc59933ac79599e3b3ba5bf427d676a99e15750faca130fba9f314b01647f17090d62684731c9"
