Subkey;Values
\459fc68c-eb53-59f8-8957-9913bc627af3;"InstallLocation: C:\Program Files\Arduino IDE; KeepShortcuts: true; ShortcutName: Arduino IDE"
\7-Zip;"Path64: C:\Program Files\7-Zip\; Path: C:\Program Files\7-Zip\"
\AccessData\ForensicSuite;"WorkingDirectory: C:\Windows\ImmersiveControlPanel; PRODUCT: PRODUCTTOINSTALL=""FTK""; INSTCMDLINE: 0; INSTALLAI: false; INSTALLEE: false; INSTALLPG: true; INSTALLPGCK: true; NOADMIN: 0; RMQCSPASSINFO: 0; ADDQUIN: 0; LEGACY: 0; NOQCSHORTCUT: 0"
\AccessData\FTKPlusLite;InstDir: C:\Program Files\AccessData\
\AccessData\PStore\EvidenceProcessor;"INSTALLDIR: C:\Program Files\AccessData\; DISTRIBUTED: 0; PROCESSINGTEMPFOLDER: C:\ProgramData\Exterro\Temp; SERVICEUSER: USER; SERVICEDOMAIN: DESKTOP-S23S2E4; PROCESSINGSTATEDIRECTORY: C:\ProgramData\Exterro\State"
\AccessData\PStore;
\AccessData\QUINC;InstDir: C:\Program Files\AccessData\
\AccessData\QuinC_Reboots;RebootCount: 1
\AccessData;
\Adobe\Adobe Acrobat\10.0\Installer;DisableMaintenance: 1
\Adobe\Adobe Acrobat\10.0;
\Adobe\Adobe Acrobat\11.0\Installer;DisableMaintenance: 1
\Adobe\Adobe Acrobat\11.0;
\Adobe\Adobe Acrobat\7.0\Installer;DisableMaintenance: 1
\Adobe\Adobe Acrobat\7.0;
\Adobe\Adobe Acrobat\8.0\Installer;DisableMaintenance: 1
\Adobe\Adobe Acrobat\8.0;
\Adobe\Adobe Acrobat\9.0\Installer;DisableMaintenance: 1
\Adobe\Adobe Acrobat\9.0;
\Adobe\Adobe Acrobat\DC\AdobeViewer;"(default): 0; EULA: 1; EULAAcceptedForBrowser: 1"
\Adobe\Adobe Acrobat\DC\Capabilities\FileAssociations;".rmf: Acrobat.RMFFile; .fdf: Acrobat.FDFDoc; .aaui: Acrobat.aaui; .pdf: Acrobat.Document.DC; .acrobatsecuritysettings: Acrobat.acrobatsecuritysettings; .pdx: AcrobatPDXFileType; .xfdf: Acrobat.XFDFDoc; .xdp: Acrobat.XDPDoc; .bpdx: AcrobatBPDXFileType; .pdfxml: Acrobat.pdfxml; .sequ: Acrobat.Sequence"
\Adobe\Adobe Acrobat\DC\Capabilities\MIMEAssociations;"application/vnd.adobe.xfd+xml: AcroPDF.PDF; application/pdf: AcroPDF.PDF; application/vnd.adobe.xdp+xml: AcroPDF.PDF; application/vnd.adobe.acrobat-security-settings: AcroPDF.PDF; application/vnd.fdf: AcroPDF.PDF; application/vnd.adobe.pdfxml: AcroPDF.PDF; application/vnd.adobe.xfdf: AcroPDF.PDF"
\Adobe\Adobe Acrobat\DC\Capabilities\UrlAssociations;acrobat: acrobat
\Adobe\Adobe Acrobat\DC\Capabilities;"ApplicationDescription: Adobe Acrobat is the complete PDF solution for working anywhere. Create, edit and sign PDFs from your computer or mobile device;  Edit PDFs and scanned documents; Prevent others from copying or editing sensitive information; Replace ink signatures with ele; ApplicationName: Adobe Acrobat"
\Adobe\Adobe Acrobat\DC\Installer\IOD;"(default): ""C:\Program Files\Adobe\Acrobat DC\Esl\Aiod.dll""; Library: C:\Program Files\Adobe\Acrobat DC\Esl\Aiod.dll"
\Adobe\Adobe Acrobat\DC\Installer\Optimization;"Enabled: YES; DefragStatus: 1"
\Adobe\Adobe Acrobat\DC\Installer;"CEF_DIR: C:\Program Files\Adobe\Acrobat DC\Acrobat\acrocef_1; CEF_FOLDER: acrocef_1; ProductCode: {AC76BA86-1033-FF00-7760-BC15014EA700}; Acrobat.exe: C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe; bIsSCRdrAppInstalled: 1; ServiceControl: 603; Is64BitProduct: 1; ReinstallMode: 0; APP_LANG: MUI; IsAcrInstalledInRdrMode: #0; IgnoreAAM: 0; Disable_DesktopShortcut_AAM: 49; CacheDir: C:\Program Files\Common Files\Adobe\Acrobat\Setup Files\{AC76BA86-1033-FF00-7760-BC15014EA700};C:\Program Files\Common Files\Adobe\Acrobat\Setup\{AC76BA86-1033-FF00-7760-BC15014EA700}\; InstallTime: 22:35:52; InstallDate: 6/7/2024; Path: C:\Program Files\Adobe\Acrobat DC\; ENU_GUID: {AC76BA86-1033-FF00-7760-BC15014EA700}; shLanguagesCab: NULL; shAlfSdPackCab: NULL; ENABLE_CHROMEEXT: 0; shExtrasCab: NULL; shIntermediateCab: NULL; SCAPackageLevel: 1; shCoreCab: NULL; bIsSingleClientApp: 1; shOptionalCab: NULL; IsRdrModeUpgToAcrMode: #0; SetupCacheExport: 
			; ProductSource: WINStore; IsMUI: 49; InitInstallTimestamp: 1717770640"
\Adobe\Adobe Acrobat\DC\InstallPath;(default): C:\Program Files\Adobe\Acrobat DC\Acrobat
\Adobe\Adobe Acrobat\DC\Language\next;(default): 0
\Adobe\Adobe Acrobat\DC\Language\UseMUI;bUseMUI: 1
\Adobe\Adobe Acrobat\DC\Language;"ENU: en_US; FRA: fr_FR; DEU: de_DE; CZE: cs_CZ; HUN: hu_HU; POL: pl_PL; SKY: sk_SK; RUS: ru_RU; UKR: uk_UA; TUR: tr_TR; SLV: sl_SI; ETI: et_EE; JPN: ja_JP; DAN: da_DK; NLD: nl_NL; NOR: nb_NO; SVE: sv_SE; SUO: fi_FI; ESP: es_ES; ITA: it_IT; PTB: pt_BR; CHS: zh_CN; CHT: zh_TW; KOR: ko_KR"
\Adobe\Adobe Acrobat\DC\RDCNotificationAppx;"AppName: RDCNotificationClient.appx; AppVersion: 1.0.4.0; AppPackageName: ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r"
\Adobe\Adobe Acrobat\DC\UnifiedShare;iEnableContextMenuShare: 65536
\Adobe\Adobe Acrobat\DC\WebResource;"tWebResourceInstallPath: Resource2; iUpdateId: 22; irandom: 7801"
\Adobe\Adobe Acrobat\DC;
\Adobe\Adobe Acrobat;"(default): 0; TrackName: DC"
\Adobe\CommonFiles\Usage\Exchange-Pro DC;throttle: 5
\Adobe\CommonFiles\Usage;
\Adobe\CommonFiles;
