Subkey;Values
\ActivationBroker\Plugins\{0913ACCF-B1AB-4EEE-A0C7-F4D7C12F4EEC};"(default): DevicePairingActivationBrokerPlugin; TypeID: {50707366-b187-49f0-b511-73a7ec26b256}"
\ActivationBroker\Plugins\{14F3C12D-7712-42CC-B7CC-64D2BB560C43};"(default): PersonalAssistantProtocolActivationPlugin; TypeID: {08BB574E-90B5-47DF-A336-BF15CA189C1A}"
\ActivationBroker\Plugins\{17B21A1B-6C59-48E0-A448-6BC9AD2C5BFE};@: CAppointmentsProviderInternalAddAppointmentActivationPlugin
\ActivationBroker\Plugins\{5672BB8A-BBF5-482E-B7B9-742C70C604D8};@: CAppointmentsProviderInternalShowApointmentDetailsActivationPlugin
\ActivationBroker\Plugins\{8ED392B6-23C2-4C3C-9126-D12D6BE621FD};@: AppointmentDetailsActivationPlugin
\ActivationBroker\Plugins\{9CC1CC97-48C6-43DB-8265-4BD9C8E192DD};@: CAppointmentsProviderInternalReplaceAppointmentActivationPlugin
\ActivationBroker\Plugins\{AA67AF38-4AE0-4B49-BA56-ADF78DBED45A};@: CAppointmentsProviderInternalRemoveAppointmentActivationPlugin
\ActivationBroker\Plugins\{AC59432D-8659-48C4-A584-AFEBC920256F};"(default): ToastActivationPlugin; TypeID: {a9086323-fa54-4eed-ad82-87d2d4bd0eb1}"
\ActivationBroker\Plugins\{C2745EC3-CF23-4601-92EF-D189B711F933};@: CAppointmentsProviderInternalChooseCalendarForViewActivationPlugin
\ActivationBroker\Plugins\{D6AC71F0-D4A7-41DD-88C4-B9985855D546};@: CAppointmentsProviderInternalShowTimeFrameActivationPlugin
\ActivationBroker\Plugins\{F00006F2-44BC-44EF-808B-B26002A183C2};"(default): DialReceiverActivationPlugin; TypeID: {faac4dc5-2486-4297-9d04-bc6633b6f953}"
\ActivationBroker\Plugins\{F22D2A32-F1F4-4D62-AF5E-E5E8253AC6A6};"(default): LauncherServiceActivationPlugin; TypeID: {EAA6BEAB-E172-49F0-8EEC-15DB35D36DF8}"
\ActivationBroker\Plugins\{F48B770A-CBE5-44C2-8D4F-931DE9CEE6FA};"(default): SpeechActivationPlugin; TypeID: {473098BA-A335-46CF-821B-D995354348E0}"
\ActivationBroker\Plugins;
\ActivationBroker;
\ControlSet001\Control\AccessibilitySettings\Theme;RedirectionKey: \REGISTRY\MACHINE\OSDATA\CurrentControlSet\Control\AccessibilitySettings\Theme
\ControlSet001\Control\AccessibilitySettings;
\ControlSet001\Control\ACPI;AMLIGlobalHeapSize: 524288
\ControlSet001\Control\AppID\CertChainStore;
\ControlSet001\Control\AppID\CertStore;
\ControlSet001\Control\AppID\Configuration\SMARTLOCKER;
\ControlSet001\Control\AppID\Configuration;
\ControlSet001\Control\AppID;
\ControlSet001\Control\AppReadiness;DllName: %SystemRoot%\system32\AppReadiness.dll
\ControlSet001\Control\Arbiters\AllocationOrder;"Pci: e801000000000000000000000000000000000000000000000000000001000000010001000e000000000100000000000000000000000000000000010000000000ffffffff00000000080100000000000000000000000000000005000000000000ffff000000000000080100000000000000000000000000004001000000000000; Root: a8040000000000000000000000000000000000000000000000000000010000000100010024000000000100000000000000000000000000000005000000000000ffff0000000000000801000000000000000000000000000040010000000000007f01000000000000080100000000000000000000000000000002000000000000"
\ControlSet001\Control\Arbiters\InaccessibleRange;"Pci: PhysicalAddress; Root: PhysicalAddress; PhysicalAddress: 48000000000000000000000000000000000000000000000000000000010000000000000001000000000300000000000000000000000000000000000080000000ffffffffffffffff"
